Title,Company Name,Area,Governorate,Country,Job Type,Experience Level,Min Yrs of Excperience,Max Yrs of Experience,Gender,Source,Skills - 1,Skills - 1.1,Skills - 1.2,Skills - 1.3,Skills - 2,Skills - 2.1,Skills - 3,Skills - 3.1,Skills - 3.2,Skills - 3.3,Skills - 4,Skills - 5,Skills - 6
Technical Office Engineer (Refrigeration),EgyptianEuropean,,6th of October,Egypt,Full Time,Experienced,4,,,Wuzzuf,Creative,Mechanical Engineering,Engineering - Mechanical/Electrical,Mechanical Engineering,AutoCAD,Revit,Drawing,,,,,,
Technical Office Engineer (Refrigeration),EgyptianEuropean,,6th of October,Egypt,Full Time,Experienced,4,,,Wuzzuf,Creative,Mechanical Engineering,Engineering - Mechanical/Electrical,Mechanical Engineering,AutoCAD,Revit,Drawing,,,,,,
ERP Application Consultant,Rednet It Services,,Cairo,Egypt,Full Time,Experienced,2,,,Wuzzuf,Accounting,Software Development,,,Engineering - Telecom/Technology,ERP,Accounting,,,,,,
ERP Consultant,Ibn Sina Pharma,,Cairo,Egypt,Full Time,Experienced,2,3,,Wuzzuf,Accounting,Software Development,,,Engineering - Telecom/Technology,coding,Communication,,,,,,
ERP Consultant (Odoo),Tawzef,,Cairo,Egypt,Full Time,Experienced,7,10,,Wuzzuf,Accounting,Software Development,,,Engineering - Telecom/Technology,Information Technology (IT),Computer Science,,,,,,
Video Editor,EL KHETA,,San Stefano,Egypt,Freelance / Project,Entry Level,1,2,,Wuzzuf,Creative,Adobe illustrator,Media/Journalism/Publishing,Adobe illustrator,Adobe Photoshop,Adobe Premiere,Video Editing,,,,,,
Video Editor - Film Maker,Qawafil For Real Estate Investment,,New Cairo,Egypt,Full Time,Experienced,3,5,,Wuzzuf,Creative,Adobe Photoshop,Marketing/PR/Advertising,Media/Journalism/Publishing,Adobe After Effects,Adobe Premiere,final cut,,,,,,
Videographer / Editor,Abda Creative Agency,,Mohandessin,Egypt,Full Time,Entry Level,1,3,,Wuzzuf,Creative,Adobe Premiere,Marketing/PR/Advertising,Media/Journalism/Publishing,Video Editing,Adobe After Effects,photoshop,,,,,,
ERP Functional Consultant,AFKAR Technology,,Cairo,Egypt,Full Time,Experienced,2,4,,Wuzzuf,Accounting,Software Development,,,ERP,Technical Analysis,Information Technology (IT),,,,,,
Account Manager,E3mel Business for Financial & Managerial Consultancy,,Maadi,Egypt,Full Time,Experienced,5,,,Wuzzuf,Customer Service,Communication skills,Sales/Retail,Communication skills,media,Account Management,Communication,,,,,,
ACM,Mico World Limited,,Maadi,Egypt,Full Time,Entry Level,1,2,,Wuzzuf,Customer Service,Communication skills,Marketing/PR/Advertising,Sales/Retail,Customer Service,Communication,English,,,,,,
