Title,Company Name,Governorate,Country,Job Type,Experience Level,Min Yrs of Excperience,Max Yrs of Experience,Source,Skills - 1,Skills - 1.1,Skills - 1.2,Skills - 1.3,Skills - 2,Skills - 2.1,Skills - 3,Skills - 3.1,Skills - 3.2,Skills - 3.3,Skills - 4,Skills - 5,Skills - 6
Smart Devices Business Development Specialist,HITS Technologies,Nasr City,Egypt,Full Time,Entry Level,1.0,2.0,Wuzzuf,Business Development,Business Development,Customer Service/Support,Sales/Retail,Sales,Customer Service,Computer Science,None,None,None,None,None,None
Solution Coordinator,Textyanzo,Giza,Egypt,Full Time,Entry Level,0.0,2.0,Wuzzuf,Business Development,Customer Support,Customer Service/Support,Customer Support,Business Development,Client Support,Account Management,None,None,None,None,None,None
Design Engineer,Teba United,10th of Ramadan City,Egypt,Full Time,Experienced,3.0,6.0,Wuzzuf,Creative,Design,Engineering - Mechanical/Electrical,Design,Electrical,Electrical Engineering,Low Voltage,None,None,None,None,None,None
Design Engineer,GAWAD MIXER,10th of Ramadan City,Egypt,Full Time,Experienced,3.0,5.0,Wuzzuf,Creative,Solid work,Engineering - Mechanical/Electrical,Solid work,CAD,Design,Engineering,None,None,None,None,None,None
"Designer ""Front End"" Team Lead - Mansoura","qTech. ""AlQemam""",Mansoura,Egypt,Full Time,Manager,5.0,0.0,Wuzzuf,Creative,Information Technology (IT),IT/Software Development,Engineering - Telecom/Technology,UI,CSS,HTML,None,None,None,None,None,None
Electrical Design Engineer,CPAS,Heliopolis,Egypt,Full Time,Experienced,2.0,5.0,Wuzzuf,Creative,Electrical Engineering,Engineering - Mechanical/Electrical,Electrical Engineering,Design,Engineering,AutoCAD,None,None,None,None,None,None
Electrical Draftsman,ProService,Nasr City,Egypt,Full Time,Experienced,5.0,0.0,Wuzzuf,Creative,Drawing,Installation/Maintenance/Repair,Drawing,CAD,AutoCAD,AutoCAD 2D,None,None,None,None,None,None
Electrical Site Engineer - Core & Shell,Confidential,Ain Sokhna,Egypt,Full Time,Experienced,3.0,9.0,Wuzzuf,Creative,Electrical Engineering,Engineering - Mechanical/Electrical,Electrical Engineering,Electrical,Shop Drawing,Infrastructure,None,None,None,None,None,None
Electrical Site Engineer - Infrastructure,Confidential,Ain Sokhna,Egypt,Full Time,Experienced,3.0,9.0,Wuzzuf,Creative,Electrical Engineering,Engineering - Mechanical/Electrical,Electrical Engineering,Electrical,Shop Drawing,Infrastructure,None,None,None,None,None,None
Flexo Designer & Prepress Finalizer (Graphic Designer),Rotografia,6th of October,Egypt,Full Time,Entry Level,1.0,3.0,Wuzzuf,Creative,Adobe illustrator,Media/Journalism/Publishing,Adobe illustrator,adobe,Adobe Photoshop,flexo,None,None,None,None,None,None
Furniture & technical designer & 3D visualizer,Dekka,Maadi,Egypt,Full Time,Experienced,3.0,6.0,Wuzzuf,Creative,3D,3D,3D Modeling,3D Modeling,Applied Arts,Architecture,None,None,None,None,None,None
Garment Technician,Alex Apparels for Garment Manufacturing,Ameria,Egypt,Full Time,Experienced,4.0,7.0,Wuzzuf,Creative,Garments,Manufacturing/Production,Fashion,Textile,Textile Design,Fashion,None,None,None,None,None,None
Graphic Design Instructor,iSchool,New Cairo,Egypt,Full Time,Entry Level,1.0,4.0,Wuzzuf,Creative,Design,Training/Instructor,Design,Engineering,Information Technology (IT),Management,None,None,None,None,None,None
